"Country","Airline","Country of Origin","Main Airports in country"
"Slovenia","Aegean Airlines","Greece","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"Switzerland","Aegean Airlines","Greece","Switzerland: Zurich Airport (ZRH)"
"Syria","Aegean Airlines","Greece","Syria: Damascus International Airport (DAM)"
"Turkey","Aegean Airlines","Greece","Turkey: Istanbul Airport (IST)"
"Ukraine","Aegean Airlines","Greece","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Aegean Airlines","Greece","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Aegean Airlines","Greece","United Kingdom: London Heathrow Airport (LHR)"
"Australia","Cathay","Hong Kong","Australia: Sydney Kingsford Smith Airport (SYD)"
"Belgium","Cathay","Hong Kong","Belgium: Brussels Airport (BRU)"
"Canada","Cathay","Hong Kong","Canada: Toronto Pearson International Airport (YYZ)"
"China","Cathay","Hong Kong","China: Beijing Capital International Airport (PEK)"
"France","Cathay","Hong Kong","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Cathay","Hong Kong","Germany: Frankfurt Airport (FRA)"
"India","Cathay","Hong Kong","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Cathay","Hong Kong","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Ireland","Cathay","Hong Kong","Ireland: Dublin Airport (DUB)"
"Israel","Cathay","Hong Kong","Israel: Ben Gurion Airport (TLV)"
"Italy","Cathay","Hong Kong","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Japan","Cathay","Hong Kong","Japan: Tokyo Haneda Airport (HND)"
"Macao","Cathay","Hong Kong","Macao: Macau International Airport (MFM)"
"Malaysia","Cathay","Hong Kong","Malaysia: Kuala Lumpur International Airport (KUL)"
"Netherlands","Cathay","Hong Kong","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Zealand","Cathay","Hong Kong","New Zealand: Auckland Airport (AKL)"
"Philippines","Cathay","Hong Kong","Philippines: Ninoy Aquino International Airport (MNL)"
"Singapore","Cathay","Hong Kong","Singapore: Singapore Changi Airport (SIN)"
"South Korea","Cathay","Hong Kong","South Korea: Incheon International Airport (ICN)"
"Spain","Cathay","Hong Kong","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Cathay","Hong Kong","Sri Lanka: Bandaranaike International Airport (CMB)"
"Taiwan","Cathay","Hong Kong","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Thailand","Cathay","Hong Kong","Thailand: Suvarnabhumi Airport (BKK)"
"United Kingdom","Cathay","Hong Kong","United Kingdom: London Heathrow Airport (LHR)"
"United States","Cathay","Hong Kong","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Vietnam","Cathay","Hong Kong","Vietnam: Noi Bai International Airport (HAN)"
"Albania","Wizz Air","Hungary","Albania: Tirana International Airport (TIA)"
"Armenia","Wizz Air","Hungary","Armenia: Zvartnots International Airport (EVN)"
"Azerbaijan","Wizz Air","Hungary","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahrain","Wizz Air","Hungary","Bahrain: Bahrain International Airport (BAH)"
"Bosnia and Herzegovina","Wizz Air","Hungary","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Bulgaria","Wizz Air","Hungary","Bulgaria: Sofia Airport (SOF)"
"Cyprus","Wizz Air","Hungary","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Wizz Air","Hungary","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Wizz Air","Hungary","Denmark: Copenhagen Airport (CPH)"
"Egypt","Wizz Air","Hungary","Egypt: Cairo International Airport (CAI)"
"Estonia","Wizz Air","Hungary","Estonia: Tallinn Airport (TLL)"
"Finland","Wizz Air","Hungary","Finland: Helsinki-Vantaa Airport (HEL)"
"Georgia","Wizz Air","Hungary","Georgia: Tbilisi International Airport (TBS)"
"Greece","Wizz Air","Hungary","Greece: Athens International Airport (ATH)"
"Hungary","Wizz Air","Hungary","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Wizz Air","Hungary","Iceland: Keflavík International Airport (KEF)"
"India","Wizz Air","Hungary","India: Indira Gandhi International Airport (DEL)"
"Israel","Wizz Air","Hungary","Israel: Ben Gurion Airport (TLV)"
"Italy","Wizz Air","Hungary","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jordan","Wizz Air","Hungary","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Wizz Air","Hungary","Kazakhstan: Almaty International Airport (ALA)"
"Kosovo","Wizz Air","Hungary","Kosovo: Pristina International Airport (PRN)"
"Kuwait","Wizz Air","Hungary","Kuwait: Kuwait International Airport (KWI)"
"Kyrgyzstan","Wizz Air","Hungary","Kyrgyzstan: Manas International Airport (FRU)"
"Latvia","Wizz Air","Hungary","Latvia: Riga International Airport (RIX)"
"Lithuania","Wizz Air","Hungary","Lithuania: Vilnius International Airport (VNO)"
"Luxembourg","Wizz Air","Hungary","Luxembourg: Luxembourg Airport (LUX)"
"Malta","Wizz Air","Hungary","Malta: Malta International Airport (MLA)"
"Moldova","Wizz Air","Hungary","Moldova: Chișinău International Airport (KIV)"
"Montenegro","Wizz Air","Hungary","Montenegro: Podgorica Airport (TGD)"
"Morocco","Wizz Air","Hungary","Morocco: Mohammed V International Airport (CMN)"
"North Macedonia","Wizz Air","Hungary","North Macedonia: Skopje International Airport (SKP)"
"Norway","Wizz Air","Hungary","Norway: Oslo Airport"
"Oman","Wizz Air","Hungary","Oman: Muscat International Airport (MCT)"
"Poland","Wizz Air","Hungary","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Wizz Air","Hungary","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Wizz Air","Hungary","Qatar: Hamad International Airport (DOH)"
"Romania","Wizz Air","Hungary","Romania: Henri Coandă International Airport (OTP)"
"Russia","Wizz Air","Hungary","Russia: Sheremetyevo International Airport (SVO)"
"Saudi Arabia","Wizz Air","Hungary","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Serbia","Wizz Air","Hungary","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Slovakia","Wizz Air","Hungary","Slovakia: Bratislava Airport (BTS)"
"Slovenia","Wizz Air","Hungary","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"Spain","Wizz Air","Hungary","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sweden","Wizz Air","Hungary","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Wizz Air","Hungary","Switzerland: Zurich Airport (ZRH)"
"Tunisia","Wizz Air","Hungary","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Wizz Air","Hungary","Turkey: Istanbul Airport (IST)"
"Ukraine","Wizz Air","Hungary","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Wizz Air","Hungary","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Wizz Air","Hungary","United Kingdom: London Heathrow Airport (LHR)"
"Australia","Air India","India","Australia: Sydney Kingsford Smith Airport (SYD)"
"Bahrain","Air India","India","Bahrain: Bahrain International Airport (BAH)"
"Canada","Air India","India","Canada: Toronto Pearson International Airport (YYZ)"
"China","Air India","India","China: Beijing Capital International Airport (PEK)"
"France","Air India","India","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Air India","India","Germany: Frankfurt Airport (FRA)"
"Hong Kong","Air India","India","Hong Kong: Hong Kong International Airport (HKG)"
"Ireland","Air India","India","Ireland: Dublin Airport (DUB)"
"Italy","Air India","India","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Japan","Air India","India","Japan: Tokyo Haneda Airport (HND)"
"Kuwait","Air India","India","Kuwait: Kuwait International Airport (KWI)"
"Maldives","Air India","India","Maldives: Velana International Airport (MLE)"
"Mauritius","Air India","India","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Netherlands","Air India","India","Netherlands: Amsterdam Airport Schiphol (AMS)"
"Oman","Air India","India","Oman: Muscat International Airport (MCT)"
"Saudi Arabia","Air India","India","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Seychelles","Air India","India","Seychelles: Seychelles International Airport (SEZ)"
"Singapore","Air India","India","Singapore: Singapore Changi Airport (SIN)"
"South Africa","Air India","India","South Africa: O. R. Tambo International Airport (JNB)"
"Sri Lanka","Air India","India","Sri Lanka: Bandaranaike International Airport (CMB)"
"Switzerland","Air India","India","Switzerland: Zurich Airport (ZRH)"
"Thailand","Air India","India","Thailand: Suvarnabhumi Airport (BKK)"
"United Arab Emirates","Air India","India","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Air India","India","United Kingdom: London Heathrow Airport (LHR)"
"United States","Air India","India","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Albania","Ryanair","Ireland","Albania: Tirana International Airport (TIA)"
"Belgium","Ryanair","Ireland","Belgium: Brussels Airport (BRU)"
"Bulgaria","Ryanair","Ireland","Bulgaria: Sofia Airport (SOF)"
"Croatia","Ryanair","Ireland","Croatia: Zagreb Airport (ZAG)"
"Cyprus","Ryanair","Ireland","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Ryanair","Ireland","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Ryanair","Ireland","Denmark: Copenhagen Airport (CPH)"
"Estonia","Ryanair","Ireland","Estonia: Tallinn Airport (TLL)"
"Finland","Ryanair","Ireland","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Ryanair","Ireland","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Ryanair","Ireland","Germany: Frankfurt Airport (FRA)"
"Greece","Ryanair","Ireland","Greece: Athens International Airport (ATH)"
"Hungary","Ryanair","Ireland","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Ireland","Ryanair","Ireland","Ireland: Dublin Airport (DUB)"
"Israel","Ryanair","Ireland","Israel: Ben Gurion Airport (TLV)"
"Italy","Ryanair","Ireland","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Latvia","Ryanair","Ireland","Latvia: Riga International Airport (RIX)"
"Lithuania","Ryanair","Ireland","Lithuania: Vilnius International Airport (VNO)"
"Luxembourg","Ryanair","Ireland","Luxembourg: Luxembourg Airport (LUX)"
"Malta","Ryanair","Ireland","Malta: Malta International Airport (MLA)"
"Moldova","Ryanair","Ireland","Moldova: Chișinău International Airport (KIV)"
"Montenegro","Ryanair","Ireland","Montenegro: Podgorica Airport (TGD)"
"Morocco","Ryanair","Ireland","Morocco: Mohammed V International Airport (CMN)"
"North Macedonia","Ryanair","Ireland","North Macedonia: Skopje International Airport (SKP)"
"Poland","Ryanair","Ireland","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Ryanair","Ireland","Portugal: Lisbon Portela Airport (LIS)"
"Romania","Ryanair","Ireland","Romania: Henri Coandă International Airport (OTP)"
"Serbia","Ryanair","Ireland","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Slovakia","Ryanair","Ireland","Slovakia: Bratislava Airport (BTS)"
"Spain","Ryanair","Ireland","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sweden","Ryanair","Ireland","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Ryanair","Ireland","Switzerland: Zurich Airport (ZRH)"
"Tunisia","Ryanair","Ireland","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Ryanair","Ireland","Turkey: Istanbul Airport (IST)"
"United Kingdom","Ryanair","Ireland","United Kingdom: London Heathrow Airport (LHR)"
"Albania","Royal Jordanian","Jordan","Albania: Tirana International Airport (TIA)"
"Armenia","Royal Jordanian","Jordan","Armenia: Zvartnots International Airport (EVN)"
"Austria","Royal Jordanian","Jordan","Austria: Vienna International Airport (VIE)"
"Bahrain","Royal Jordanian","Jordan","Bahrain: Bahrain International Airport (BAH)"
"Canada","Royal Jordanian","Jordan","Canada: Toronto Pearson International Airport (YYZ)"
"Cyprus","Royal Jordanian","Jordan","Cyprus: Larnaca International Airport (LCA)"
"Egypt","Royal Jordanian","Jordan","Egypt: Cairo International Airport (CAI)"
"France","Royal Jordanian","Jordan","France: Paris Charles de Gaulle Airport (CDG)"
"Georgia","Royal Jordanian","Jordan","Georgia: Tbilisi International Airport (TBS)"
"Germany","Royal Jordanian","Jordan","Germany: Frankfurt Airport (FRA)"
"Greece","Royal Jordanian","Jordan","Greece: Athens International Airport (ATH)"
"India","Royal Jordanian","Jordan","India: Indira Gandhi International Airport (DEL)"
"Iraq","Royal Jordanian","Jordan","Iraq: Baghdad International Airport (BGW)"
"Italy","Royal Jordanian","Jordan","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jordan","Royal Jordanian","Jordan","Jordan: Queen Alia International Airport (AMM)"
"Kuwait","Royal Jordanian","Jordan","Kuwait: Kuwait International Airport (KWI)"
"Lebanon","Royal Jordanian","Jordan","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Libya","Royal Jordanian","Jordan","Libya: Tripoli International Airport (TIP)"
"Malaysia","Royal Jordanian","Jordan","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Royal Jordanian","Jordan","Maldives: Velana International Airport (MLE)"
"Morocco","Royal Jordanian","Jordan","Morocco: Mohammed V International Airport (CMN)"
"Netherlands","Royal Jordanian","Jordan","Netherlands: Amsterdam Airport Schiphol (AMS)"
"Oman","Royal Jordanian","Jordan","Oman: Muscat International Airport (MCT)"
"Pakistan","Royal Jordanian","Jordan","Pakistan: Jinnah International Airport (KHI)"
"Saudi Arabia","Royal Jordanian","Jordan","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Sudan","Royal Jordanian","Jordan","Sudan: Khartoum International Airport (KRT)"
"Sweden","Royal Jordanian","Jordan","Sweden: Stockholm Arlanda Airport (ARN)"
"Syria","Royal Jordanian","Jordan","Syria: Damascus International Airport (DAM)"
"Turkey","Royal Jordanian","Jordan","Turkey: Istanbul Airport (IST)"
"United Arab Emirates","Royal Jordanian","Jordan","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Royal Jordanian","Jordan","United Kingdom: London Heathrow Airport (LHR)"
"United States","Royal Jordanian","Jordan","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Burundi","Kenya Airways","Kenya","Burundi: Bujumbura International Airport (BJM)"
"Comoros","Kenya Airways","Kenya","Comoros: Prince Said Ibrahim International Airport (HAH)"
"Congo Democratic Republic of","Kenya Airways","Kenya","Congo Democratic Republic of: N'djili Airport (FIH)"
"Côte d'Ivoire","Kenya Airways","Kenya","Côte d'Ivoire: Félix-Houphouët-Boigny International Airport (ABJ)"
"Democratic Republic of the Congo","Kenya Airways","Kenya","Democratic Republic of the Congo: N'djili Airport (FIH)"
"Djibouti","Kenya Airways","Kenya","Djibouti: Djibouti–Ambouli International Airport (JIB)"
"Egypt","Kenya Airways","Kenya","Egypt: Cairo International Airport (CAI)"
"Eswatini","Kenya Airways","Kenya","Eswatini: King Mswati III International Airport (SHO)"
"Ethiopia","Kenya Airways","Kenya","Ethiopia: Addis Ababa Bole International Airport (ADD)"
"France","Kenya Airways","Kenya","France: Paris Charles de Gaulle Airport (CDG)"
"Ghana","Kenya Airways","Kenya","Ghana: Kotoka International Airport (ACC)"
"Guinea","Kenya Airways","Kenya","Guinea: Conakry International Airport (CKY)"
"India","Kenya Airways","Kenya","India: Indira Gandhi International Airport (DEL)"
"Italy","Kenya Airways","Kenya","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Kenya","Kenya Airways","Kenya","Kenya: Jomo Kenyatta International Airport (NBO)"
"Madagascar","Kenya Airways","Kenya","Madagascar: Ivato International Airport (TNR)"
"Malawi","Kenya Airways","Kenya","Malawi: Lilongwe International Airport (LLW)"
"Mauritius","Kenya Airways","Kenya","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Mozambique","Kenya Airways","Kenya","Mozambique: Maputo International Airport (MPM)"
"Namibia","Kenya Airways","Kenya","Namibia: Hosea Kutako International Airport (WDH)"
"Netherlands","Kenya Airways","Kenya","Netherlands: Amsterdam Airport Schiphol (AMS)"
"Nigeria","Kenya Airways","Kenya","Nigeria: Murtala Muhammed International Airport (LOS)"
